date,video_id,object_id,behavior,x,y,width,height,area,center_x,center_y
2019_11_05,000002,0,standing,524,163,220,104,22880,634.0,215.0
2019_11_05,000002,0,standing,515,117,217,147,31899,623.5,190.5
2019_11_05,000002,0,standing,515,87,217,178,38626,623.5,176.0
2019_11_05,000002,0,standing,512,94,213,178,37914,618.5,183.0
2019_11_05,000002,0,standing,512,98,194,179,34726,609.0,187.5
2019_11_05,000002,0,standing,512,95,194,152,29488,609.0,171.0
2019_11_05,000002,0,standing,518,95,184,172,31648,610.0,181.0
2019_11_05,000002,0,standing,518,92,184,185,34040,610.0,184.5
2019_11_05,000002,0,standing,518,92,188,199,37412,612.0,191.5
2019_11_05,000002,0,standing,518,92,188,208,39104,612.0,196.0
2019_11_05,000002,0,standing,518,92,215,212,45580,625.5,198.0
2019_11_05,000002,0,standing,593,155,195,154,30030,690.5,232.0
2019_11_05,000002,0,walk,637,200,209,128,26752,741.5,264.0
2019_11_05,000002,0,walk,677,244,216,106,22896,785.0,297.0
2019_11_05,000002,0,walk,719,256,199,90,17910,818.5,301.0
2019_11_05,000002,0,walk,727,191,142,206,29252,798.0,294.0
2019_11_05,000002,0,walk,727,196,142,201,28542,798.0,296.5
2019_11_05,000002,0,walk,758,163,121,217,26257,818.5,271.5
2019_11_05,000002,0,walk,761,163,124,219,27156,823.0,272.5
2019_11_05,000002,0,walk,762,172,124,236,29264,824.0,290.0
2019_11_05,000002,0,walk,745,195,141,213,30033,815.5,301.5
2019_11_05,000002,0,walk,679,214,178,195,34710,768.0,311.5
2019_11_05,000002,0,walk,622,207,178,189,33642,711.0,301.5
2019_11_05,000002,0,walk,554,159,154,235,36190,631.0,276.5
2019_11_05,000002,0,walk,512,196,241,137,33017,632.5,264.5
2019_11_05,000002,0,walk,530,177,241,113,27233,650.5,233.5
2019_11_05,000002,0,walk,566,184,229,91,20839,680.5,229.5
2019_11_05,000002,0,playwithtoy,608,158,229,152,34808,722.5,234.0
2019_11_05,000002,0,playwithtoy,614,165,223,188,41924,725.5,259.0
2019_11_05,000002,0,walk,595,161,141,215,30315,665.5,268.5
2019_11_05,000002,0,run,370,202,266,164,43624,503.0,284.0
2019_11_05,000002,0,run,258,183,273,219,59787,394.5,292.5
2019_11_05,000002,0,standing,247,257,320,141,45120,407.0,327.5
2019_11_05,000002,0,standing,247,257,320,157,50240,407.0,335.5
2019_11_05,000002,0,standing,257,257,310,180,55800,412.0,347.0
2019_11_05,000002,0,standing,257,251,310,182,56420,412.0,342.0
2019_11_05,000002,0,standing,272,256,313,164,51332,428.5,338.0
2019_11_05,000002,0,run,558,337,216,129,27864,666.0,401.5
2019_11_05,000002,0,run,689,390,207,100,20700,792.5,440.0
2019_11_05,000002,0,walk,712,432,201,92,18492,812.5,478.0
2019_11_05,000002,0,walk,724,464,201,104,20904,824.5,516.0
2019_11_05,000002,0,nose-to-nose,704,456,211,142,29962,809.5,527.0
2019_11_05,000002,0,nose-to-nose,704,447,211,162,34182,809.5,528.0
2019_11_05,000002,0,walk,704,440,211,169,35659,809.5,524.5
2019_11_05,000002,0,walk,782,426,169,159,26871,866.5,505.5
2019_11_05,000002,0,run,900,355,146,145,21170,973.0,427.5
2019_11_05,000002,0,run,955,305,180,98,17640,1045.0,354.0
2019_11_05,000002,0,run,1023,271,139,110,15290,1092.5,326.0
2019_11_05,000002,0,walk,1035,240,133,151,20083,1101.5,315.5
2019_11_05,000002,0,walk,1032,240,123,151,18573,1093.5,315.5
2019_11_05,000002,0,walk,1004,263,133,133,17689,1070.5,329.5
2019_11_05,000002,0,walk,936,307,158,76,12008,1015.0,345.0
2019_11_05,000002,0,run,843,305,169,67,11323,927.5,338.5
2019_11_05,000002,0,run,716,312,197,110,21670,814.5,367.0
2019_11_05,000002,0,run,546,360,231,115,26565,661.5,417.5
2019_11_05,000002,0,nose-to-nose,340,348,268,176,47168,474.0,436.0
2019_11_05,000002,0,walk,325,292,157,286,44902,403.5,435.0
2019_11_05,000002,0,walk,355,267,131,311,40741,420.5,422.5
2019_11_05,000002,0,walk,317,305,232,240,55680,433.0,425.0
2019_11_05,000002,0,walk,263,327,275,182,50050,400.5,418.0
2019_11_05,000002,0,standing,263,327,263,189,49707,394.5,421.5
2019_11_05,000002,0,standing,263,327,263,193,50759,394.5,423.5
2019_11_05,000002,0,standing,263,327,253,197,49841,389.5,425.5
2019_11_05,000002,0,standing,263,327,253,195,49335,389.5,424.5
2019_11_05,000002,0,standing,263,305,253,217,54901,389.5,413.5
2019_11_05,000002,0,standing,267,231,238,273,64974,386.0,367.5
2019_11_05,000002,0,standing,277,189,264,258,68112,409.0,318.0
2019_11_05,000002,0,standing,280,185,215,252,54180,387.5,311.0
2019_11_05,000002,0,standing,285,175,248,244,60512,409.0,297.0
2019_11_05,000002,0,standing,285,233,278,157,43646,424.0,311.5
2019_11_05,000002,0,standing,285,245,296,127,37592,433.0,308.5
2019_11_05,000002,0,walk,364,269,266,115,30590,497.0,326.5
2019_11_05,000002,0,standing,388,275,252,139,35028,514.0,344.5
2019_11_05,000002,0,standing,437,283,213,150,31950,543.5,358.0
2019_11_05,000002,0,standing,432,283,218,156,34008,541.0,361.0
2019_11_05,000002,0,standing,432,283,218,145,31610,541.0,355.5
2019_11_05,000002,0,standing,432,280,213,171,36423,538.5,365.5
2019_11_05,000002,0,standing,437,241,155,264,40920,514.5,373.0
2019_11_05,000002,0,standing,405,221,188,271,50948,499.0,356.5
2019_11_05,000002,0,standing,322,221,252,240,60480,448.0,341.0
2019_11_05,000002,0,standing,251,273,314,128,40192,408.0,337.0
2019_11_05,000002,0,standing,301,182,238,248,59024,420.0,306.0
2019_11_05,000002,0,standing,305,149,216,281,60696,413.0,289.5
2019_11_05,000002,0,standing,332,158,200,281,56200,432.0,298.5
2019_11_05,000002,0,standing,359,238,263,163,42869,490.5,319.5
2019_11_05,000002,0,run,480,257,237,116,27492,598.5,315.0
2019_11_05,000002,0,run,577,266,221,100,22100,687.5,316.0
2019_11_05,000002,0,jumpontopof,637,247,217,177,38409,745.5,335.5
2019_11_05,000002,0,nose-to-nose,668,298,186,210,39060,761.0,403.0
2019_11_05,000002,0,nose-to-nose,710,405,205,154,31570,812.5,482.0
2019_11_05,000002,0,nose-to-nose,767,466,196,96,18816,865.0,514.0
2019_11_05,000002,0,walk,784,485,196,81,15876,882.0,525.5
2019_11_05,000002,0,walk,861,455,161,108,17388,941.5,509.0
2019_11_05,000002,0,walk,887,413,151,128,19328,962.5,477.0
2019_11_05,000002,0,walk,927,352,144,175,25200,999.0,439.5
2019_11_05,000002,0,walk,924,331,117,196,22932,982.5,429.0
2019_11_05,000002,0,walk,914,310,117,196,22932,972.5,408.0
2019_11_05,000002,0,walk,894,311,130,139,18070,959.0,380.5
2019_11_05,000002,0,run,791,281,164,89,14596,873.0,325.5
2019_11_05,000002,0,run,609,270,207,89,18423,712.5,314.5
2019_11_05,000002,0,run,433,231,245,186,45570,555.5,324.0
2019_11_05,000002,0,nose-to-nose,407,190,241,196,47236,527.5,288.0
2019_11_05,000002,0,nose-to-nose,437,168,204,184,37536,539.0,260.0
2019_11_05,000002,0,walk,459,115,217,197,42749,567.5,213.5
2019_11_05,000002,0,walk,568,110,121,240,29040,628.5,230.0
2019_11_05,000002,0,walk,590,135,170,219,37230,675.0,244.5
2019_11_05,000002,0,walk,579,155,225,182,40950,691.5,246.0
2019_11_05,000002,0,investigating,628,161,220,159,34980,738.0,240.5
2019_11_05,000002,0,investigating,683,169,175,171,29925,770.5,254.5
2019_11_05,000002,0,investigating,741,176,117,210,24570,799.5,281.0
2019_11_05,000002,0,investigating,741,156,111,225,24975,796.5,268.5
2019_11_05,000002,0,investigating,739,160,119,214,25466,798.5,267.0
2019_11_05,000002,0,investigating,669,189,192,156,29952,765.0,267.0
2019_11_05,000002,0,nose-poke-elsewhere,569,195,238,103,24514,688.0,246.5
2019_11_05,000002,0,nose-poke-elsewhere,526,193,242,125,30250,647.0,255.5
2019_11_05,000002,0,nose-poke-elsewhere,526,183,217,185,40145,634.5,275.5
2019_11_05,000002,0,nose-poke-elsewhere,519,195,204,173,35292,621.0,281.5
2019_11_05,000002,0,walk,519,192,206,135,27810,622.0,259.5
2019_11_05,000002,0,walk,580,137,127,233,29591,643.5,253.5
2019_11_05,000002,0,walk,602,151,215,128,27520,709.5,215.0
2019_11_05,000002,0,investigating,641,127,169,128,21632,725.5,191.0
2019_11_05,000002,0,investigating,641,131,166,124,20584,724.0,193.0
2019_11_05,000002,0,investigating,641,130,163,125,20375,722.5,192.5
2019_11_05,000002,0,investigating,641,131,163,113,18419,722.5,187.5
2019_11_05,000002,0,investigating,641,127,173,111,19203,727.5,182.5
2019_11_05,000002,0,investigating,641,127,173,125,21625,727.5,189.5
2019_11_05,000002,0,investigating,645,131,169,141,23829,729.5,201.5
2019_11_05,000002,0,investigating,645,131,169,131,22139,729.5,196.5
2019_11_05,000002,0,investigating,657,135,185,118,21830,749.5,194.0
2019_11_05,000002,0,walk,672,151,226,90,20340,785.0,196.0
2019_11_05,000002,0,walk,729,169,179,77,13783,818.5,207.5
2019_11_05,000002,0,walk,751,172,186,131,24366,844.0,237.5
2019_11_05,000002,0,walk,765,154,133,209,27797,831.5,258.5
2019_11_05,000002,0,walk,739,155,120,234,28080,799.0,272.0
2019_11_05,000002,0,walk,727,173,201,174,34974,827.5,260.0
2019_11_05,000002,0,walk,774,194,154,146,22484,851.0,267.0
2019_11_05,000002,0,walk,774,189,200,124,24800,874.0,251.0
2019_11_05,000002,0,run,869,223,200,67,13400,969.0,256.5
2019_11_05,000002,0,run,966,242,171,70,11970,1051.5,277.0
2019_11_05,000002,0,investigating,1006,242,159,62,9858,1085.5,273.0
2019_11_05,000002,0,investigating,1031,239,142,67,9514,1102.0,272.5
2019_11_05,000002,0,investigating,1031,239,136,72,9792,1099.0,275.0
2019_11_05,000002,0,investigating,1049,240,136,55,7480,1117.0,267.5
2019_11_05,000002,0,investigating,1058,240,135,54,7290,1125.5,267.0
2019_11_05,000002,0,investigating,1058,240,127,57,7239,1121.5,268.5
2019_11_05,000002,0,investigating,1072,240,113,63,7119,1128.5,271.5
2019_11_05,000002,0,investigating,1094,247,108,72,7776,1148.0,283.0
2019_11_05,000002,0,investigating,1108,240,98,107,10486,1157.0,293.5
2019_11_05,000002,0,investigating,1108,240,104,119,12376,1160.0,299.5
2019_11_05,000002,0,investigating,1099,240,117,126,14742,1157.5,303.0
2019_11_05,000002,0,investigating,1111,240,109,132,14388,1165.5,306.0
2019_11_05,000002,0,investigating,1107,244,112,121,13552,1163.0,304.5
2019_11_05,000002,0,investigating,1107,239,111,124,13764,1162.5,301.0
2019_11_05,000002,0,investigating,1102,239,114,126,14364,1159.0,302.0
2019_11_05,000002,0,investigating,1099,245,117,120,14040,1157.5,305.0
2019_11_05,000002,0,investigating,1099,235,121,130,15730,1159.5,300.0
2019_11_05,000002,0,investigating,1099,237,116,124,14384,1157.0,299.0
2019_11_05,000002,0,standing,1099,231,118,130,15340,1158.0,296.0
2019_11_05,000002,0,standing,1099,234,113,128,14464,1155.5,298.0
2019_11_05,000002,0,standing,1099,236,112,128,14336,1155.0,300.0
2019_11_05,000002,0,standing,1099,237,113,128,14464,1155.5,301.0
2019_11_05,000002,0,standing,1099,238,114,126,14364,1156.0,301.0
2019_11_05,000002,0,standing,1099,245,115,127,14605,1156.5,308.5
2019_11_05,000002,0,standing,1110,239,108,141,15228,1164.0,309.5
2019_11_05,000002,0,standing,1109,239,111,141,15651,1164.5,309.5
2019_11_05,000002,0,standing,1108,239,112,141,15792,1164.0,309.5
2019_11_05,000002,0,standing,1113,240,105,140,14700,1165.5,310.0
2019_11_05,000002,0,standing,1113,242,107,139,14873,1166.5,311.5
2019_11_05,000002,0,standing,1110,241,109,139,15151,1164.5,310.5
2019_11_05,000002,0,standing,1108,240,110,139,15290,1163.0,309.5
2019_11_05,000002,0,standing,1105,239,111,138,15318,1160.5,308.0
2019_11_05,000002,0,standing,1099,239,120,136,16320,1159.0,307.0
2019_11_05,000002,0,standing,1099,239,114,133,15162,1156.0,305.5
2019_11_05,000002,0,standing,1099,243,115,128,14720,1156.5,307.0
2019_11_05,000002,0,standing,1096,247,122,123,15006,1157.0,308.5
2019_11_05,000002,0,standing,1092,255,122,113,13786,1153.0,311.5
2019_11_05,000002,0,standing,1077,265,137,97,13289,1145.5,313.5
2019_11_05,000002,0,standing,1073,287,143,66,9438,1144.5,320.0
2019_11_05,000002,0,walk,1072,302,144,86,12384,1144.0,345.0
2019_11_05,000002,0,walk,1072,314,132,122,16104,1138.0,375.0
2019_11_05,000002,0,walk,1048,330,136,125,17000,1116.0,392.5
2019_11_05,000002,0,standing,1048,341,125,125,15625,1110.5,403.5
2019_11_05,000002,0,standing,1048,341,125,134,16750,1110.5,408.0
2019_11_05,000002,0,standing,1048,341,125,141,17625,1110.5,411.5
2019_11_05,000002,0,standing,1048,341,125,152,19000,1110.5,417.0
2019_11_05,000002,0,standing,1048,341,121,129,15609,1108.5,405.5
2019_11_05,000002,0,standing,1066,341,103,93,9579,1117.5,387.5
2019_11_05,000002,0,nose-to-nose,1066,331,103,69,7107,1117.5,365.5
2019_11_05,000002,0,nose-to-nose,1031,308,110,85,9350,1086.0,350.5
2019_11_05,000002,0,nose-to-nose,1026,302,93,80,7440,1072.5,342.0
2019_11_05,000002,0,nose-to-nose,1020,258,93,121,11253,1066.5,318.5
2019_11_05,000002,0,walk,943,208,161,140,22540,1023.5,278.0
2019_11_05,000002,0,walk,927,201,168,107,17976,1011.0,254.5
2019_11_05,000002,0,walk,892,215,186,69,12834,985.0,249.5
2019_11_05,000002,0,walk,884,215,172,92,15824,970.0,261.0
2019_11_05,000002,0,walk,884,208,172,114,19608,970.0,265.0
2019_11_05,000002,0,walk,856,208,190,104,19760,951.0,260.0
2019_11_05,000002,0,walk,813,208,186,104,19344,906.0,260.0
2019_11_05,000002,0,walk,757,218,186,140,26040,850.0,288.0
2019_11_05,000002,0,nose-poke-elsewhere,705,234,186,161,29946,798.0,314.5
2019_11_05,000002,0,nose-poke-elsewhere,695,239,186,180,33480,788.0,329.0
2019_11_05,000002,0,walk,727,239,154,212,32648,804.0,345.0
2019_11_05,000002,0,walk,723,280,139,221,30719,792.5,390.5
2019_11_05,000002,0,walk,711,322,136,211,28696,779.0,427.5
2019_11_05,000002,0,walk,721,336,127,214,27178,784.5,443.0
2019_11_05,000002,0,walk,716,412,148,131,19388,790.0,477.5
2019_11_05,000002,0,walk,708,462,151,92,13892,783.5,508.0
2019_11_05,000002,0,nose-to-nose,708,447,146,147,21462,781.0,520.5
2019_11_05,000002,0,nose-to-nose,708,447,140,176,24640,778.0,535.0
2019_11_05,000002,0,nose-to-nose,708,447,140,176,24640,778.0,535.0
2019_11_05,000002,0,nose-to-nose,708,447,140,183,25620,778.0,538.5
2019_11_05,000002,0,nose-to-nose,708,436,140,194,27160,778.0,533.0
2019_11_05,000002,0,standing,708,436,140,194,27160,778.0,533.0
2019_11_05,000002,0,standing,708,467,148,163,24124,782.0,548.5
2019_11_05,000002,0,other,692,451,175,162,28350,779.5,532.0
2019_11_05,000002,0,standing,719,452,160,155,24800,799.0,529.5
2019_11_05,000002,0,standing,719,474,168,136,22848,803.0,542.0
2019_11_05,000002,0,standing,719,474,172,136,23392,805.0,542.0
2019_11_05,000002,0,standing,727,492,169,98,16562,811.5,541.0
2019_11_05,000002,0,standing,783,492,121,95,11495,843.5,539.5
2019_11_05,000002,0,standing,801,491,120,99,11880,861.0,540.5
2019_11_05,000002,0,standing,783,491,138,89,12282,852.0,535.5
2019_11_05,000002,0,standing,768,491,153,89,13617,844.5,535.5
2019_11_05,000002,0,standing,760,488,158,88,13904,839.0,532.0
2019_11_05,000002,0,standing,760,488,162,83,13446,841.0,529.5
2019_11_05,000002,0,standing,762,468,168,103,17304,846.0,519.5
2019_11_05,000002,0,nose-to-nose,772,468,161,116,18676,852.5,526.0
2019_11_05,000002,0,nose-to-nose,772,468,161,125,20125,852.5,530.5
2019_11_05,000002,0,nose-to-nose,772,468,161,140,22540,852.5,538.0
2019_11_05,000002,0,nose-to-nose,772,472,161,136,21896,852.5,540.0
2019_11_05,000002,0,nose-to-nose,778,478,155,133,20615,855.5,544.5
2019_11_05,000002,0,nose-to-nose,763,477,164,142,23288,845.0,548.0
2019_11_05,000002,0,standing,759,477,165,142,23430,841.5,548.0
2019_11_05,000002,0,standing,759,477,157,142,22294,837.5,548.0
2019_11_05,000002,0,standing,769,468,147,151,22197,842.5,543.5
2019_11_05,000002,0,standing,787,473,133,146,19418,853.5,546.0
2019_11_05,000002,0,standing,797,464,123,155,19065,858.5,541.5
2019_11_05,000002,0,standing,807,455,113,164,18532,863.5,537.0
2019_11_05,000002,0,standing,807,455,117,160,18720,865.5,535.0
2019_11_05,000002,0,standing,824,448,105,162,17010,876.5,529.0
2019_11_05,000002,0,standing,826,428,105,165,17325,878.5,510.5
2019_11_05,000002,0,standing,788,422,147,171,25137,861.5,507.5
2019_11_05,000002,0,standing,788,422,151,171,25821,863.5,507.5
2019_11_05,000002,0,standing,788,439,151,154,23254,863.5,516.0
2019_11_05,000002,0,standing,796,437,147,156,22932,869.5,515.0
2019_11_05,000002,0,walk,843,385,144,152,21888,915.0,461.0
2019_11_05,000002,0,walk,870,353,155,161,24955,947.5,433.5
2019_11_05,000002,0,walk,878,331,140,163,22820,948.0,412.5
2019_11_05,000002,0,standing,881,323,140,163,22820,951.0,404.5
2019_11_05,000002,0,standing,881,323,136,163,22168,949.0,404.5
2019_11_05,000002,0,standing,884,323,136,163,22168,952.0,404.5
2019_11_05,000002,0,standing,884,314,136,172,23392,952.0,400.0
2019_11_05,000002,0,standing,884,309,130,174,22620,949.0,396.0
2019_11_05,000002,0,standing,884,307,128,158,20224,948.0,386.0
2019_11_05,000002,0,walk,920,276,108,158,17064,974.0,355.0
2019_11_05,000002,0,walk,935,260,94,158,14852,982.0,339.0
2019_11_05,000002,0,walk,933,249,94,158,14852,980.0,328.0
2019_11_05,000002,0,standing,933,214,94,194,18236,980.0,311.0
2019_11_05,000002,0,standing,933,202,116,206,23896,991.0,305.0
2019_11_05,000002,0,standing,933,206,101,192,19392,983.5,302.0
2019_11_05,000002,0,standing,933,231,101,169,17069,983.5,315.5
2019_11_05,000002,0,standing,936,231,101,169,17069,986.5,315.5
2019_11_05,000002,0,standing,935,222,101,173,17473,985.5,308.5
2019_11_05,000002,0,standing,952,206,85,173,14705,994.5,292.5
2019_11_05,000002,0,standing,952,206,85,175,14875,994.5,293.5
2019_11_05,000002,0,standing,954,213,81,175,14175,994.5,300.5
2019_11_05,000002,0,standing,954,213,110,180,19800,1009.0,303.0
2019_11_05,000002,0,standing,954,215,116,178,20648,1012.0,304.0
2019_11_05,000002,0,standing,954,215,119,178,21182,1013.5,304.0
2019_11_05,000002,0,standing,954,215,92,178,16376,1000.0,304.0
2019_11_05,000002,0,standing,954,210,85,178,15130,996.5,299.0
2019_11_05,000002,0,standing,954,210,85,184,15640,996.5,302.0
2019_11_05,000002,0,walk,919,194,116,188,21808,977.0,288.0
2019_11_05,000002,0,walk,875,188,153,160,24480,951.5,268.0
2019_11_05,000002,0,walk,845,188,183,131,23973,936.5,253.5
2019_11_05,000002,0,walk,845,188,174,109,18966,932.0,242.5
2019_11_05,000002,0,walk,821,180,185,93,17205,913.5,226.5
2019_11_05,000002,0,playwithtoy,811,166,176,103,18128,899.0,217.5
2019_11_05,000002,0,playwithtoy,811,157,169,112,18928,895.5,213.0
2019_11_05,000002,0,playwithtoy,811,157,169,110,18590,895.5,212.0
2019_11_05,000002,0,playwithtoy,807,157,169,110,18590,891.5,212.0
2019_11_05,000002,0,playwithtoy,807,157,169,107,18083,891.5,210.5
2019_11_05,000002,0,playwithtoy,795,157,177,102,18054,883.5,208.0
2019_11_05,000002,0,playwithtoy,795,157,180,102,18360,885.0,208.0
2019_11_05,000002,0,playwithtoy,795,157,180,107,19260,885.0,210.5
2019_11_05,000002,0,playwithtoy,786,155,182,119,21658,877.0,214.5
2019_11_05,000002,0,playwithtoy,786,155,176,120,21120,874.0,215.0
2019_11_05,000002,0,playwithtoy,786,155,177,120,21240,874.5,215.0
2019_11_05,000002,0,playwithtoy,786,155,178,120,21360,875.0,215.0
2019_11_05,000002,0,playwithtoy,786,155,181,120,21720,876.5,215.0
2019_11_05,000002,0,playwithtoy,799,155,169,121,20449,883.5,215.5
2019_11_05,000002,0,playwithtoy,805,155,166,124,20584,888.0,217.0
2019_11_05,000002,0,playwithtoy,808,157,165,135,22275,890.5,224.5
2019_11_05,000002,0,playwithtoy,808,157,165,138,22770,890.5,226.0
2019_11_05,000002,0,playwithtoy,808,157,165,146,24090,890.5,230.0
2019_11_05,000002,0,playwithtoy,808,157,163,155,25265,889.5,234.5
2019_11_05,000002,0,playwithtoy,797,157,174,155,26970,884.0,234.5
2019_11_05,000002,0,standing,790,166,181,146,26426,880.5,239.0
2019_11_05,000002,0,standing,790,166,188,117,21996,884.0,224.5
2019_11_05,000002,0,playwithtoy,790,166,188,112,21056,884.0,222.0
2019_11_05,000002,0,playwithtoy,796,155,182,114,20748,887.0,212.0
2019_11_05,000002,0,playwithtoy,796,152,176,117,20592,884.0,210.5
2019_11_05,000002,0,playwithtoy,796,165,173,104,17992,882.5,217.0
2019_11_05,000002,0,playwithtoy,796,156,173,113,19549,882.5,212.5
2019_11_05,000002,0,playwithtoy,796,152,168,117,19656,880.0,210.5
2019_11_05,000002,0,playwithtoy,796,152,161,117,18837,876.5,210.5
2019_11_05,000002,0,playwithtoy,796,152,161,123,19803,876.5,213.5
2019_11_05,000002,0,playwithtoy,796,152,156,123,19188,874.0,213.5
2019_11_05,000002,0,playwithtoy,796,152,162,123,19926,877.0,213.5
2019_11_05,000002,0,playwithtoy,796,152,162,121,19602,877.0,212.5
2019_11_05,000002,0,playwithtoy,796,157,162,116,18792,877.0,215.0
2019_11_05,000002,0,playwithtoy,780,157,178,116,20648,869.0,215.0
2019_11_05,000002,0,nose-to-nose,778,157,180,116,20880,868.0,215.0
2019_11_05,000002,0,nose-to-nose,775,157,183,116,21228,866.5,215.0
2019_11_05,000002,0,playwithtoy,775,157,186,116,21576,868.0,215.0
2019_11_05,000002,0,nose-to-nose,775,157,186,116,21576,868.0,215.0
2019_11_05,000002,0,nose-to-nose,775,157,182,116,21112,866.0,215.0
2019_11_05,000002,0,nose-to-nose,755,157,202,116,23432,856.0,215.0
2019_11_05,000002,0,nose-to-nose,770,159,189,114,21546,864.5,216.0
2019_11_05,000002,0,nose-to-nose,801,174,161,99,15939,881.5,223.5
2019_11_05,000002,0,walk,803,184,160,89,14240,883.0,228.5
2019_11_05,000002,0,walk,809,183,149,74,11026,883.5,220.0
2019_11_05,000002,0,walk,799,183,154,85,13090,876.0,225.5
2019_11_05,000002,0,walk,792,189,154,157,24178,869.0,267.5
2019_11_05,000002,0,walk,786,217,138,200,27600,855.0,317.0
2019_11_05,000002,0,walk,769,249,139,202,28078,838.5,350.0
2019_11_05,000002,0,walk,760,266,141,176,24816,830.5,354.0
2019_11_05,000002,0,walk,710,275,179,178,31862,799.5,364.0
